,Sneaker Name,Shoe Size,Retail Price,Resell Price,Release Date,Order Date,Red,Black,White,Green,Neo,Orange,Tan/Brown,Pink,Blue,Colorful,release_season,release_year,order_season,order_year
63,adidas-yeezy-boost-350-v2-butter,5.5,220,293.78290598290596,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
64,adidas-yeezy-boost-350-v2-butter,6.0,220,275.2752442996743,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
65,adidas-yeezy-boost-350-v2-butter,6.5,220,286.62655601659753,2018-06-30,2018-06-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
66,adidas-yeezy-boost-350-v2-butter,7.0,220,262.1547344110854,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
67,adidas-yeezy-boost-350-v2-butter,7.5,220,259.75767918088735,2018-06-30,2018-06-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
68,adidas-yeezy-boost-350-v2-butter,8.0,220,257.0817843866171,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
69,adidas-yeezy-boost-350-v2-butter,8.5,220,258.2712477396022,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
70,adidas-yeezy-boost-350-v2-butter,9.0,220,252.9142091152815,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
71,adidas-yeezy-boost-350-v2-butter,9.5,220,262.9672801635992,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
72,adidas-yeezy-boost-350-v2-butter,10.0,220,260.77114870881564,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
73,adidas-yeezy-boost-350-v2-butter,10.5,220,267.208830548926,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
74,adidas-yeezy-boost-350-v2-butter,11.0,220,270.8291215403129,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
75,adidas-yeezy-boost-350-v2-butter,11.5,220,270.0890151515151,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
76,adidas-yeezy-boost-350-v2-butter,12.0,220,271.6018276762402,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
77,adidas-yeezy-boost-350-v2-butter,12.5,220,301.52830188679246,2018-06-30,2018-06-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
78,adidas-yeezy-boost-350-v2-butter,13.0,220,278.8311403508772,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
79,adidas-yeezy-boost-350-v2-butter,13.5,220,316.72222222222223,2018-06-30,2018-06-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
80,adidas-yeezy-boost-350-v2-butter,14.0,220,296.1835443037975,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
81,adidas-yeezy-boost-350-v2-butter,14.5,220,405.3333333333333,2018-06-30,2018-07-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
82,adidas-yeezy-boost-350-v2-butter,16.0,220,646.7142857142857,2018-06-30,2018-07-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
83,adidas-yeezy-boost-350-v2-core-black-copper,4.0,220,809.0,2016-11-23,2017-11-09,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
84,adidas-yeezy-boost-350-v2-core-black-copper,5.5,220,1095.0,2016-11-23,2017-10-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
85,adidas-yeezy-boost-350-v2-core-black-copper,6.5,220,990.0,2016-11-23,2017-10-12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
86,adidas-yeezy-boost-350-v2-core-black-copper,7.0,220,615.0,2016-11-23,2017-11-08,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
87,adidas-yeezy-boost-350-v2-core-black-copper,8.0,220,700.0,2016-11-23,2017-11-13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
88,adidas-yeezy-boost-350-v2-core-black-copper,9.0,220,687.0,2016-11-23,2017-09-06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
89,adidas-yeezy-boost-350-v2-core-black-copper,9.5,220,665.0,2016-11-23,2017-10-13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
90,adidas-yeezy-boost-350-v2-core-black-copper,10.0,220,706.1428571428571,2016-11-23,2017-09-13,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
91,adidas-yeezy-boost-350-v2-core-black-copper,10.5,220,660.0,2016-11-23,2017-11-23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
92,adidas-yeezy-boost-350-v2-core-black-copper,11.0,220,711.0,2016-11-23,2017-09-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
93,adidas-yeezy-boost-350-v2-core-black-copper,11.5,220,775.0,2016-11-23,2017-09-21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
94,adidas-yeezy-boost-350-v2-core-black-copper,13.0,220,795.0,2016-11-23,2017-09-22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
95,adidas-yeezy-boost-350-v2-core-black-green,4.0,220,610.0,2016-11-23,2017-10-03,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
96,adidas-yeezy-boost-350-v2-core-black-green,5.0,220,920.0,2016-11-23,2017-10-10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
97,adidas-yeezy-boost-350-v2-core-black-green,5.5,220,810.0,2016-11-23,2017-10-23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
98,adidas-yeezy-boost-350-v2-core-black-green,8.0,220,611.0,2016-11-23,2017-09-20,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
99,adidas-yeezy-boost-350-v2-core-black-green,9.5,220,669.9,2016-11-23,2017-09-10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
100,adidas-yeezy-boost-350-v2-core-black-green,10.0,220,669.5,2016-11-23,2017-09-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
101,adidas-yeezy-boost-350-v2-core-black-green,10.5,220,640.4,2016-11-23,2017-09-10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
102,adidas-yeezy-boost-350-v2-core-black-green,11.0,220,670.25,2016-11-23,2017-09-01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
103,adidas-yeezy-boost-350-v2-core-black-green,11.5,220,698.0,2016-11-23,2017-10-21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
104,adidas-yeezy-boost-350-v2-core-black-green,13.0,220,705.5,2016-11-23,2017-09-09,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
105,adidas-yeezy-boost-350-v2-core-black-red,4.0,220,1042.0,2016-11-23,2017-10-24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
106,adidas-yeezy-boost-350-v2-core-black-red,5.0,220,1162.0,2016-11-23,2017-09-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
107,adidas-yeezy-boost-350-v2-core-black-red,6.5,220,1130.0,2016-11-23,2017-10-13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
108,adidas-yeezy-boost-350-v2-core-black-red,7.0,220,1045.0,2016-11-23,2017-09-22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
109,adidas-yeezy-boost-350-v2-core-black-red,7.5,220,1049.0,2016-11-23,2017-09-12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
110,adidas-yeezy-boost-350-v2-core-black-red,8.0,220,1022.0,2016-11-23,2017-11-11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
111,adidas-yeezy-boost-350-v2-core-black-red,8.5,220,1032.5,2016-11-23,2017-10-04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
112,adidas-yeezy-boost-350-v2-core-black-red,9.0,220,1010.4,2016-11-23,2017-09-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
113,adidas-yeezy-boost-350-v2-core-black-red,9.5,220,998.2,2016-11-23,2017-09-17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
114,adidas-yeezy-boost-350-v2-core-black-red,10.0,220,952.7142857142857,2016-11-23,2017-09-14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
115,adidas-yeezy-boost-350-v2-core-black-red,10.5,220,1001.3333333333334,2016-11-23,2017-09-21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
116,adidas-yeezy-boost-350-v2-core-black-red,11.0,220,968.6666666666666,2016-11-23,2017-09-02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
117,adidas-yeezy-boost-350-v2-core-black-red,11.5,220,1043.3333333333333,2016-11-23,2017-09-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
118,adidas-yeezy-boost-350-v2-core-black-red,12.0,220,990.5,2016-11-23,2017-10-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
119,adidas-yeezy-boost-350-v2-core-black-red,12.5,220,1200.0,2016-11-23,2017-09-11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
120,adidas-yeezy-boost-350-v2-core-black-red,13.0,220,983.0,2016-11-23,2017-09-03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
121,adidas-yeezy-boost-350-v2-core-black-red,14.0,220,885.5,2016-11-23,2017-11-12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
122,adidas-yeezy-boost-350-v2-core-black-red-2017,4.0,220,926.0,2017-02-11,2017-09-07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winter 2017,2017,Fall 2017,2017
